time_s,C1(mol/m^3),C2(mol/m^3),J1(mol/s),J2(mol/s),J_left_2D(mol/(m s)),J_right_2D(mol/(m s)),J_left_total(mol/s),J_right_total(mol/s),Int_C_domain(mol),balance(mol),target(mol),residual(mol),relative_residual
0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-06,5e-06,0.0,0.0
30.0,0.019999409290125045,1.498751408718722e-14,-4.9225822912819674e-12,1.2489595072656017e-19,-9.845164582563934e-10,2.4979190145312036e-17,-4.9225822912819674e-12,1.2489595072656017e-19,5.550778894164631e-10,5.0004074004244255e-06,5e-06,4.0740042442510843e-10,8.148008488502169e-05
60.0,0.019999043176255383,1.6416335589295004e-13,-3.0509489138870375e-12,1.2431320150480232e-18,-6.101897827774075e-10,2.4862640300960465e-16,-3.0509489138870375e-12,1.2431320150480232e-18,8.252868121080138e-10,5.000586080916994e-06,5e-06,5.860809169935824e-10,0.00011721618339871646
90.0,0.019998761575594857,9.428301451968986e-13,-2.346672171052523e-12,6.488889910866239e-18,-4.693344342105046e-10,1.2977779821732478e-15,-2.346672171052523e-12,6.488889910866239e-18,1.0297178925650014e-09,5.000720112026987e-06,5e-06,7.201120269864219e-10,0.00014402240539728437
120.0,0.01999852509234623,3.786364271443607e-12,-1.970693738569442e-12,2.3696117718722568e-17,-3.9413874771388843e-10,4.7392235437445135e-15,-1.970693738569442e-12,2.3696117718722568e-17,1.200392618407736e-09,5.000831666651556e-06,5e-06,8.316666515558978e-10,0.00016633333031117954
150.0,0.019998317428861833,1.1961701309072895e-11,-1.730529036636046e-12,6.812780864691073e-17,-3.461058073272092e-10,1.3625561729382145e-14,-1.730529036636046e-12,6.812780864691073e-17,1.3498441656910995e-09,5.000929204371574e-06,5e-06,9.292043715737863e-10,0.00018584087431475723
180.0,0.019998130150196636,3.170251016982388e-11,-1.5606555433007373e-12,1.6450674050625822e-16,-3.1213110866014744e-10,3.290134810125164e-14,-1.5606555433007373e-12,1.6450674050625822e-16,1.4843983944752045e-09,5.001016943869262e-06,5e-06,1.0169438692614411e-09,0.0002033887738522882
210.0,0.019997958252510536,7.340128924807414e-11,-1.4324807175201973e-12,3.474898256520854e-16,-2.8649614350403945e-10,6.949796513041707e-14,-1.4324807175201973e-12,3.474898256520854e-16,1.6077556728195344e-09,5.001097337150776e-06,5e-06,1.0973371507759456e-09,0.0002194674301551891
240.0,0.01999779848726525,1.5263263696502834e-10,-1.3313770440439856e-12,6.602612309746183e-16,-2.662754088087971e-10,1.3205224619492366e-13,-1.3313770440439856e-12,6.602612309746183e-16,1.7222938395753786e-09,5.001171953814047e-06,5e-06,1.1719538140464076e-09,0.0002343907628092815
270.0,0.019997648606702615,2.9081573959420937e-10,-1.2490046886287123e-12,1.1515258552431752e-15,-2.4980093772574244e-10,2.3030517104863505e-13,-1.2490046886287123e-12,1.1515258552431752e-15,1.8296423974138726e-09,5.0012418667770025e-06,5e-06,1.2418667770020854e-09,0.0002483733554004171
